source,target,value,Score,Color code
ALDE,Article 4,9.07,215,#1a9641
EFDD,Article 4,5.47,60,#7fb38c
Greens-EFA,Article 4,6.80,60,#7fb38c
GUE-NGL,Article 4,6.93,40,#7fb38c
GUE-NGL,Article 13,6.93,30,#7fb38c
ALDE,Article 13,9.07,25,#7fb38c
Greens-EFA,Article 13,6.80,25,#7fb38c
EFDD,Article 13,5.47,20,#7fb38c
ENF,Article 13,5.33,10,#7fb38c
ECR,Article 4,9.60,5,#7fb38c
EPP,Article 4,28.53,-60,#ef6548
ECR,Article 13,9.60,-65,#ef6548
ENF,Article 4,5.33,-110,#ef6548
EPP,Article 13,28.53,-190,#990000
S&D,Article 4,25.20,-240,#990000
S&D,Article 13,25.20,-355,#990000