id,buurt,cijfer,
0,Burgwallen-Oude Zijde,4246,
1,Burgwallen-Nieuwe Zijde,3991,
2,Grachtengordel-West,6371,
3,Grachtengordel-Zuid,5407,
4,Nieuwmarkt/Lastage,9649,
5,Haarlemmerbuurt,9304,
6,Jordaan,19316,
7,De Weteringschans,7256,
8,Weesperbuurt/Plantage,7894,
9,Oostelijke Eilanden/Kadijken,12988,
10,Westelijk Havengebied,192,
11,Bedrijventerrein Sloterdijk,149,
12,Houthavens,1065,
13,Spaarndammer- en Zeeheldenbuurt,10801,
14,Staatsliedenbuurt,13268,
15,Centrale Markt,2452,
16,Frederik Hendrikbuurt,8414,
17,Da Costabuurt,4742,
18,Kinkerbuurt,6391,
19,Van Lennepbuurt,6985,
20,Helmersbuurt,7470,
21,Overtoomse Sluis,7807,
22,Vondelbuurt,1897,
23,Sloterdijk,529,
24,Landlust,18652,
25,Erasmuspark,5765,
26,De Kolenkit,9918,
27,De Krommert,#N/A,
28,Van Galenbuurt,6977,
29,Hoofdweg en omgeving,#N/A,
30,Westindische buurt,6944,
31,Spieringhorn,#N/A,
32,Slotermeer-Noordoost,9410,
33,Slotermeer-Zuidwest,17377,
34,Geuzenveld,15727,
35,Eendracht,2461,
36,Lutkemeer en Ookmeer,#N/A,
37,Osdorp-Oost,16116,
38,Osdorp-Midden,16009,
39,De Punt,5997,
40,Middelveldsche Akerpolder en Sloten,#N/A,
41,Slotervaart,#N/A,
42,Overtoomse Veld,12328,
43,Westlandgracht,8706,
44,Sloten- en Riekerpolder,#N/A,
45,Oude Pijp,14711,
46,Nieuwe Pijp,12306,
47,Diamantbuurt,#N/A,
48,Hoofddorppleinbuurt,11853,
49,Schinkelbuurt,3837,
50,Willemspark,5538,
51,Museumkwartier,12841,
52,Stadionbuurt,11806,
53,Apollobuurt,8691,
54,Duivelseiland,#N/A,
55,Scheldebuurt,15088,
56,IJselbuurt,5373,
57,Rijnbuurt,9183,
58,Station-Zuid WTC en omgeving,#N/A,
59,Buitenveldert-West,13074,
60,Buitenveldert-Oost,7764,
61,Weesperzijde,5429,
62,Oosterparkbuurt,10906,
63,Dapperbuurt,9755,
64,Transvaalbuurt,9413,
65,Indische Buurt West,12668,
66,Indische Buurt Oost,10264,
67,Oostelijk Havengebied,18646,
68,Zeeburgereiland/Nieuwe Diep,2178,
69,IJburg West,14531,
70,IJburg Zuid,7666,
71,Frankendael,11072,
72,Middenmeer,15577,
73,Betondorp,3234,
74,De Omval,#N/A,
75,IJburg Oost,,
76,Volewijck,9731,
77,Ijplein/Vogelbuurt,8289,
78,Tuindorp Nieuwendam,3539,
79,Tuindorp Buiksloot,1925,
80,Nieuwendammerdijk/Buiksloterdijk,1685,
81,Tuindorp Oostzaan,11348,
82,Oostzanerwerf,8902,
83,Kadoelen,3074,
84,Nieuwendam-Noord,#N/A,
85,Buikslotermeer,11121,
86,Banne Buiksloot,14367,
87,Buiksloterham,#N/A,
88,Nieuwendammerham,#N/A,
89,Waterland,2201,
90,Amstel III/Bullewijk,666,
91,Bijlmer-Centrum (D,F,H)
92,Bijlmer-Oost (E,G,K)
93,Nellestein,,
94,Holendrecht/Reigersbos,,
95,Gein,,
96,Driemond,,